frame,enemy,state,archetype,x,z,dist
27,3,patrol,bruiser,9.42,-8.11,20.41
27,4,patrol,pouncer,2.72,-13.29,23.45
28,1,patrol,swarm,-7.66,-5.85,17.60
28,2,patrol,swarm,-4.37,-8.44,18.95
28,3,patrol,bruiser,9.44,-8.11,20.42
28,4,patrol,pouncer,2.71,-13.27,23.43
29,1,patrol,swarm,-7.67,-5.85,17.61
29,2,patrol,swarm,-4.38,-8.43,18.94
29,3,patrol,bruiser,9.45,-8.11,20.43
29,4,patrol,pouncer,2.71,-13.25,23.41
30,1,patrol,swarm,-7.69,-5.84,17.61
30,2,patrol,swarm,-4.39,-8.41,18.93
30,3,patrol,bruiser,9.46,-8.12,20.44
30,4,patrol,pouncer,2.70,-13.23,23.38
31,1,patrol,swarm,-7.71,-5.84,17.62
31,2,patrol,swarm,-4.40,-8.39,18.91
31,3,patrol,bruiser,9.47,-8.12,20.44
31,4,patrol,pouncer,2.69,-13.21,23.36
32,1,patrol,swarm,-7.73,-5.84,17.62
32,2,patrol,swarm,-4.42,-8.38,18.90
32,3,patrol,bruiser,9.48,-8.12,20.45
32,4,patrol,pouncer,2.68,-13.19,23.34
33,1,patrol,swarm,-7.75,-5.83,17.63
33,2,patrol,swarm,-4.43,-8.36,18.89
33,3,patrol,bruiser,9.50,-8.12,20.46
33,4,patrol,pouncer,2.67,-13.17,23.32
34,1,patrol,swarm,-7.77,-5.83,17.63
34,2,patrol,swarm,-4.44,-8.35,18.87
34,3,patrol,bruiser,9.51,-8.13,20.47
34,4,patrol,pouncer,2.67,-13.15,23.30
35,1,patrol,swarm,-7.79,-5.82,17.64
35,2,patrol,swarm,-4.45,-8.33,18.86
35,3,patrol,bruiser,9.52,-8.13,20.48
35,4,patrol,pouncer,2.66,-13.12,23.28
36,1,patrol,swarm,-7.80,-5.82,17.64
36,2,patrol,swarm,-4.46,-8.31,18.85
36,3,patrol,bruiser,9.53,-8.13,20.49
36,4,patrol,pouncer,2.65,-13.10,23.26
37,1,patrol,swarm,-7.82,-5.82,17.64
37,2,patrol,swarm,-4.47,-8.30,18.84
37,3,patrol,bruiser,9.55,-8.14,20.50
37,4,patrol,pouncer,2.64,-13.08,23.23
38,1,patrol,swarm,-7.84,-5.81,17.65
38,2,patrol,swarm,-4.48,-8.28,18.82
38,3,patrol,bruiser,9.56,-8.14,20.50
38,4,patrol,pouncer,2.63,-13.06,23.21
39,1,patrol,swarm,-7.86,-5.81,17.65
39,2,patrol,swarm,-4.49,-8.27,18.81
39,3,patrol,bruiser,9.57,-8.14,20.51
39,4,patrol,pouncer,2.63,-13.04,23.19
40,1,patrol,swarm,-7.88,-5.80,17.66
40,2,patrol,swarm,-4.50,-8.25,18.80
40,3,patrol,bruiser,9.58,-8.15,20.52
40,4,patrol,pouncer,2.62,-13.02,23.17
41,1,patrol,swarm,-7.90,-5.80,17.66
41,2,patrol,swarm,-4.51,-8.24,18.79
41,3,patrol,bruiser,9.59,-8.15,20.53
41,4,patrol,pouncer,2.61,-13.00,23.15
42,1,patrol,swarm,-7.92,-5.79,17.67
42,2,patrol,swarm,-4.52,-8.22,18.77
42,3,patrol,bruiser,9.61,-8.15,20.54
42,4,patrol,pouncer,2.60,-12.98,23.13
43,1,patrol,swarm,-7.93,-5.79,17.67
43,2,patrol,swarm,-4.53,-8.20,18.76
43,3,patrol,bruiser,9.62,-8.16,20.55
43,4,patrol,pouncer,2.59,-12.96,23.11
44,1,patrol,swarm,-7.95,-5.79,17.68
44,2,patrol,swarm,-4.54,-8.19,18.75
44,3,patrol,bruiser,9.63,-8.16,20.55
44,4,patrol,pouncer,2.59,-12.94,23.09
45,1,patrol,swarm,-7.97,-5.78,17.68
45,2,patrol,swarm,-4.55,-8.17,18.73
45,3,patrol,bruiser,9.64,-8.16,20.56
45,4,patrol,pouncer,2.58,-12.92,23.06
46,1,patrol,swarm,-7.99,-5.78,17.68
46,2,patrol,swarm,-4.56,-8.16,18.72
46,3,patrol,bruiser,9.65,-8.16,20.57
46,4,patrol,pouncer,2.57,-12.90,23.04
47,1,patrol,swarm,-8.01,-5.77,17.69
47,2,patrol,swarm,-4.57,-8.14,18.71
47,3,patrol,bruiser,9.67,-8.17,20.58
47,4,patrol,pouncer,2.56,-12.88,23.02
48,1,patrol,swarm,-8.02,-5.77,17.69
48,2,patrol,swarm,-4.58,-8.13,18.70
48,3,patrol,bruiser,9.68,-8.17,20.59
48,4,patrol,pouncer,2.55,-12.86,23.00
49,1,patrol,swarm,-8.04,-5.77,17.70
49,2,patrol,swarm,-4.59,-8.11,18.68
49,3,patrol,bruiser,9.69,-8.17,20.60
49,4,patrol,pouncer,2.55,-12.84,22.98
50,1,patrol,swarm,-8.06,-5.76,17.70
50,2,patrol,swarm,-4.60,-8.10,18.67
50,3,patrol,bruiser,9.70,-8.18,20.60
50,4,patrol,pouncer,2.54,-12.82,22.96
51,1,patrol,swarm,-8.08,-5.76,17.71
